Nro_Expediente,Fuero,Juzgado_Radicacion,Tipo_Proceso,Fecha_Inicio,Estado_Causa,Dias_Activo
88047/24,Laboral,1° Juzgado Laboral,Despido,2025-10-18,Archivado,329
57363/24,Familia,1° Juzgado de Familia,Homicidio,2024-11-02,En Trámite,681
52369/26,Familia,1° Juzgado de Familia,Daños y Perjuicios,2025-05-08,Para Sentencia,494
98555/25,Familia,1° Juzgado de Familia,Amparo,2023-10-26,Para Sentencia,1054
28351/23,Penal (Colegio de Jueces),Sala I,Sucesorio,2026-07-25,En Trámite,51
44343/25,Familia,1° Juzgado de Familia,Homicidio,2025-02-14,Resuelto,350
52907/26,Penal (Colegio de Jueces),Sala II,Daños y Perjuicios,2025-11-20,Suspendido,298
35916/25,Familia,2° Juzgado de Familia,Daños y Perjuicios,2024-11-12,Archivado,260
20106/26,Familia,2° Juzgado de Familia,Divorcio,2025-01-03,En Trámite,619
82711/25,Familia,1° Juzgado de Familia,Homicidio,2024-06-07,En Trámite,829
50834/26,Familia,2° Juzgado de Familia,Divorcio,2025-01-18,Para Sentencia,604
28175/25,Laboral,1° Juzgado Laboral,Divorcio,2025-02-25,En Trámite,566
89795/25,Familia,1° Juzgado de Familia,Hurto,2024-07-01,Archivado,176
86555/25,"Civil, Comercial y Minería",4° Juzgado Civil,Divorcio,2025-12-19,Suspendido,269
86580/25,Laboral,1° Juzgado Laboral,Hurto,2024-01-09,Resuelto,241
49644/26,"Civil, Comercial y Minería",4° Juzgado Civil,Amparo,2025-09-23,Resuelto,183
21735/24,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Amparo,2026-09-13,Archivado,268
3020/23,Familia,1° Juzgado de Familia,Divorcio,2025-06-04,Archivado,70
88886/25,"Civil, Comercial y Minería",4° Juzgado Civil,Sucesorio,2024-05-07,Suspendido,860
2212/26,Familia,2° Juzgado de Familia,Divorcio,2023-11-07,Archivado,302
13899/23,Penal (Colegio de Jueces),Sala I,Amparo,2025-07-20,Archivado,63
34930/24,Familia,2° Juzgado de Familia,Divorcio,2025-04-20,Archivado,233
44596/26,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Hurto,2025-12-23,Suspendido,264
96719/23,Familia,1° Juzgado de Familia,Homicidio,2024-03-21,Suspendido,907
57096/26,Laboral,1° Juzgado Laboral,Despido,2025-02-13,Archivado,90
67349/26,Penal (Colegio de Jueces),Sala III,Hurto,2025-05-17,Suspendido,485
6299/24,Familia,2° Juzgado de Familia,Sucesorio,2024-09-23,En Trámite,720
41995/26,Penal (Colegio de Jueces),Sala II,Hurto,2026-01-16,Para Sentencia,241
62365/25,Penal (Colegio de Jueces),Sala II,Hurto,2023-09-28,Suspendido,1081
87656/23,"Civil, Comercial y Minería",1° Juzgado Civil,Despido,2025-08-13,En Trámite,397
65369/26,Laboral,1° Juzgado Laboral,Daños y Perjuicios,2026-04-10,Archivado,291
93886/23,"Civil, Comercial y Minería",1° Juzgado Civil,Hurto,2024-07-08,Suspendido,798
73878/26,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Hurto,2024-02-27,Para Sentencia,930
91353/24,Penal (Colegio de Jueces),Sala I,Amparo,2026-02-08,Resuelto,302
41021/25,"Civil, Comercial y Minería",2° Juzgado Civil,Divorcio,2023-11-19,Suspendido,1030
31367/25,Familia,1° Juzgado de Familia,Homicidio,2023-12-18,Resuelto,323
19153/25,Penal (Colegio de Jueces),Sala III,Homicidio,2024-02-21,Resuelto,214
36981/25,Laboral,1° Juzgado Laboral,Daños y Perjuicios,2024-05-23,Resuelto,180
11969/24,"Civil, Comercial y Minería",4° Juzgado Civil,Homicidio,2025-09-23,En Trámite,356
21602/26,Familia,2° Juzgado de Familia,Homicidio,2025-05-04,Para Sentencia,498
72743/26,Familia,1° Juzgado de Familia,Daños y Perjuicios,2025-07-18,Suspendido,423
44011/24,Familia,1° Juzgado de Familia,Hurto,2023-12-25,Para Sentencia,994
26249/25,Familia,2° Juzgado de Familia,Hurto,2026-01-09,En Trámite,248
62653/24,Familia,1° Juzgado de Familia,Daños y Perjuicios,2024-07-22,Resuelto,271
7197/24,Familia,2° Juzgado de Familia,Despido,2026-07-02,Resuelto,291
75867/26,Laboral,3° Juzgado Laboral,Amparo,2024-10-25,Resuelto,206
84205/23,Familia,1° Juzgado de Familia,Daños y Perjuicios,2024-11-04,Para Sentencia,679
40598/23,Familia,1° Juzgado de Familia,Divorcio,2026-01-24,Suspendido,233
84877/23,Laboral,1° Juzgado Laboral,Hurto,2023-09-16,En Trámite,1094
79363/23,Laboral,3° Juzgado Laboral,Despido,2025-03-21,En Trámite,542
62686/24,Laboral,2° Juzgado Laboral,Amparo,2025-06-11,Resuelto,101
73109/23,"Civil, Comercial y Minería",4° Juzgado Civil,Homicidio,2025-03-24,En Trámite,539
44147/26,Laboral,1° Juzgado Laboral,Sucesorio,2026-05-30,Resuelto,246
93117/26,Familia,1° Juzgado de Familia,Divorcio,2026-06-15,Resuelto,35
92207/24,Penal (Colegio de Jueces),Sala I,Sucesorio,2026-03-02,Suspendido,196
91235/26,Laboral,3° Juzgado Laboral,Homicidio,2024-06-06,Suspendido,830
83319/25,Familia,2° Juzgado de Familia,Homicidio,2024-09-26,Suspendido,718
91253/23,Penal (Colegio de Jueces),Sala III,Hurto,2025-10-16,En Trámite,333
13670/26,Laboral,1° Juzgado Laboral,Hurto,2023-12-06,Resuelto,88
31771/26,"Civil, Comercial y Minería",1° Juzgado Civil,Amparo,2024-04-30,Suspendido,867
76555/23,Laboral,1° Juzgado Laboral,Sucesorio,2024-09-15,Archivado,381
31179/23,Laboral,1° Juzgado Laboral,Amparo,2024-08-10,En Trámite,765
40533/23,Laboral,3° Juzgado Laboral,Sucesorio,2023-11-27,Archivado,199
60751/23,Penal (Colegio de Jueces),Sala III,Sucesorio,2024-06-26,Archivado,223
7332/23,"Civil, Comercial y Minería",1° Juzgado Civil,Daños y Perjuicios,2024-01-24,En Trámite,963
25398/26,Laboral,1° Juzgado Laboral,Hurto,2025-01-17,En Trámite,605
99644/24,Penal (Colegio de Jueces),Sala II,Amparo,2023-11-09,Para Sentencia,1040
64803/24,Penal (Colegio de Jueces),Sala I,Hurto,2024-06-10,Archivado,85
94665/23,Penal (Colegio de Jueces),Sala II,Daños y Perjuicios,2024-04-19,Para Sentencia,878
91452/26,Familia,1° Juzgado de Familia,Homicidio,2024-12-24,Para Sentencia,629
48960/23,Laboral,2° Juzgado Laboral,Sucesorio,2026-03-22,Suspendido,176
37308/26,Penal (Colegio de Jueces),Sala I,Daños y Perjuicios,2024-02-24,Archivado,49
77350/25,Laboral,1° Juzgado Laboral,Sucesorio,2026-05-25,Suspendido,112
19052/25,Penal (Colegio de Jueces),Sala I,Amparo,2024-03-02,Archivado,363
75049/24,Familia,1° Juzgado de Familia,Despido,2023-11-08,Archivado,52
7504/25,Familia,2° Juzgado de Familia,Amparo,2024-12-04,Resuelto,122
56658/23,Laboral,1° Juzgado Laboral,Hurto,2025-03-22,Resuelto,261
63200/25,Familia,2° Juzgado de Familia,Divorcio,2023-10-07,Archivado,63
73037/26,Laboral,2° Juzgado Laboral,Sucesorio,2024-05-29,Para Sentencia,838
45240/24,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Despido,2024-08-09,Para Sentencia,766
24312/24,Penal (Colegio de Jueces),Sala I,Homicidio,2023-12-20,Archivado,318
99447/26,Familia,2° Juzgado de Familia,Hurto,2024-05-22,Suspendido,845
18556/23,"Civil, Comercial y Minería",2° Juzgado Civil,Homicidio,2023-11-10,Suspendido,1039
63266/26,Penal (Colegio de Jueces),Sala III,Sucesorio,2025-09-08,En Trámite,371
69931/26,Laboral,2° Juzgado Laboral,Sucesorio,2023-09-28,En Trámite,1082
17667/26,Familia,2° Juzgado de Familia,Despido,2026-07-21,Archivado,187
10613/24,Laboral,2° Juzgado Laboral,Amparo,2024-05-20,Resuelto,187
52799/24,"Civil, Comercial y Minería",1° Juzgado Civil,Daños y Perjuicios,2025-08-07,Archivado,290
76205/24,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Sucesorio,2025-12-17,Resuelto,391
29698/26,"Civil, Comercial y Minería",4° Juzgado Civil,Homicidio,2026-02-26,Suspendido,200
11407/23,Laboral,2° Juzgado Laboral,Hurto,2024-07-08,Archivado,226
40797/25,Familia,1° Juzgado de Familia,Amparo,2025-02-22,Archivado,173
36761/23,"Civil, Comercial y Minería",3° Juzgado Civil,Despido,2025-12-08,Suspendido,280
24997/24,Familia,2° Juzgado de Familia,Sucesorio,2025-03-17,Archivado,169
73304/25,Laboral,1° Juzgado Laboral,Homicidio,2026-07-21,Resuelto,102
84668/24,Laboral,1° Juzgado Laboral,Despido,2025-03-25,En Trámite,538
89871/24,Penal (Colegio de Jueces),Sala III,Homicidio,2024-02-13,Para Sentencia,944
81990/25,Familia,1° Juzgado de Familia,Sucesorio,2024-12-28,Para Sentencia,625
46510/25,Familia,1° Juzgado de Familia,Amparo,2024-08-06,En Trámite,769
97526/25,"Civil, Comercial y Minería",1° Juzgado Civil,Hurto,2026-08-23,Resuelto,74
53761/26,Laboral,2° Juzgado Laboral,Sucesorio,2024-01-06,Resuelto,47
74976/24,Penal (Colegio de Jueces),Sala II,Divorcio,2025-10-11,Para Sentencia,338
30208/26,Familia,1° Juzgado de Familia,Sucesorio,2023-12-12,Resuelto,248
57631/26,Familia,2° Juzgado de Familia,Amparo,2023-10-25,En Trámite,1054
60949/25,Laboral,2° Juzgado Laboral,Homicidio,2025-08-20,Suspendido,390
63042/24,Laboral,3° Juzgado Laboral,Daños y Perjuicios,2025-10-31,Suspendido,318
57745/25,Penal (Colegio de Jueces),Sala I,Sucesorio,2024-09-05,En Trámite,739
67823/25,Familia,2° Juzgado de Familia,Divorcio,2025-05-01,Resuelto,317
15817/26,Familia,1° Juzgado de Familia,Despido,2025-12-27,Suspendido,261
13299/26,Familia,1° Juzgado de Familia,Sucesorio,2026-06-11,Para Sentencia,95
10835/23,"Civil, Comercial y Minería",4° Juzgado Civil,Sucesorio,2024-07-30,Resuelto,230
97096/23,"Civil, Comercial y Minería",1° Juzgado Civil,Sucesorio,2025-11-17,Resuelto,337
61302/23,Penal (Colegio de Jueces),Sala I,Sucesorio,2023-10-30,Archivado,116
63174/25,Familia,1° Juzgado de Familia,Daños y Perjuicios,2024-07-04,Resuelto,188
76361/25,Laboral,1° Juzgado Laboral,Hurto,2024-09-18,Suspendido,726
51548/26,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Despido,2024-02-12,En Trámite,945
45567/25,Penal (Colegio de Jueces),Sala II,Homicidio,2026-03-19,En Trámite,178
51505/26,Familia,2° Juzgado de Familia,Daños y Perjuicios,2024-12-02,Para Sentencia,651
7020/26,"Civil, Comercial y Minería",2° Juzgado Civil,Daños y Perjuicios,2024-01-06,En Trámite,982
52120/23,Laboral,3° Juzgado Laboral,Daños y Perjuicios,2024-04-02,Resuelto,108
2665/23,"Civil, Comercial y Minería",3° Juzgado Civil,Hurto,2025-02-25,Suspendido,566
12121/23,"Civil, Comercial y Minería",3° Juzgado Civil,Divorcio,2026-04-08,Para Sentencia,159
79863/24,Laboral,3° Juzgado Laboral,Hurto,2025-09-26,Resuelto,369
13449/24,"Civil, Comercial y Minería",4° Juzgado Civil,Daños y Perjuicios,2025-07-18,Para Sentencia,422
61830/25,Penal (Colegio de Jueces),Sala III,Hurto,2025-03-22,Para Sentencia,541
68005/26,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Amparo,2026-06-20,Suspendido,85
47899/25,Familia,1° Juzgado de Familia,Amparo,2024-08-29,Suspendido,746
60958/26,Penal (Colegio de Jueces),Sala III,Despido,2025-06-06,Suspendido,465
73506/25,Laboral,2° Juzgado Laboral,Divorcio,2025-09-22,En Trámite,357
14106/24,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Divorcio,2023-10-01,Archivado,64
9215/26,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Divorcio,2023-12-26,Suspendido,993
12542/23,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Hurto,2025-02-02,En Trámite,589
10047/25,Laboral,1° Juzgado Laboral,Amparo,2025-11-03,En Trámite,315
91572/25,Laboral,3° Juzgado Laboral,Sucesorio,2023-12-13,Archivado,165
7822/25,Familia,1° Juzgado de Familia,Divorcio,2024-06-10,Archivado,108
76354/26,Penal (Colegio de Jueces),Sala I,Amparo,2024-07-10,Archivado,341
68512/24,Familia,2° Juzgado de Familia,Sucesorio,2026-08-27,En Trámite,18
5193/23,Laboral,2° Juzgado Laboral,Amparo,2026-02-08,En Trámite,218
71202/26,Penal (Colegio de Jueces),Sala II,Sucesorio,2026-08-17,En Trámite,28
92649/25,Penal (Colegio de Jueces),Sala II,Daños y Perjuicios,2025-07-30,Archivado,328
87195/25,"Civil, Comercial y Minería",4° Juzgado Civil,Hurto,2026-02-08,Para Sentencia,218
8641/24,Penal (Colegio de Jueces),Sala III,Amparo,2025-02-27,Archivado,207
45513/26,Familia,2° Juzgado de Familia,Daños y Perjuicios,2026-01-20,Suspendido,237
6292/23,"Civil, Comercial y Minería",3° Juzgado Civil,Divorcio,2025-05-28,Suspendido,474
65599/24,"Civil, Comercial y Minería",1° Juzgado Civil,Despido,2026-02-21,En Trámite,205
36271/23,"Civil, Comercial y Minería",1° Juzgado Civil,Homicidio,2024-05-11,Archivado,129
79831/26,Laboral,2° Juzgado Laboral,Despido,2024-09-19,Para Sentencia,725
1229/25,Penal (Colegio de Jueces),Sala III,Divorcio,2024-01-06,Suspendido,982
62589/24,Familia,2° Juzgado de Familia,Hurto,2025-01-26,Suspendido,596
94268/26,Laboral,3° Juzgado Laboral,Sucesorio,2024-02-10,Resuelto,321
50759/24,Laboral,3° Juzgado Laboral,Amparo,2024-06-10,Archivado,235
35702/24,Laboral,3° Juzgado Laboral,Amparo,2024-11-06,Resuelto,333
58720/24,"Civil, Comercial y Minería",4° Juzgado Civil,Daños y Perjuicios,2026-04-09,Resuelto,164
63337/25,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Hurto,2025-04-05,En Trámite,527
65379/23,Laboral,3° Juzgado Laboral,Homicidio,2024-10-25,Para Sentencia,689
44221/24,Familia,2° Juzgado de Familia,Daños y Perjuicios,2024-07-05,En Trámite,801
39368/26,"Civil, Comercial y Minería",3° Juzgado Civil,Daños y Perjuicios,2025-03-06,Resuelto,112
27256/26,Laboral,2° Juzgado Laboral,Divorcio,2025-08-19,Resuelto,33
15245/24,Penal (Colegio de Jueces),Sala I,Homicidio,2026-04-13,En Trámite,154
14341/24,"Civil, Comercial y Minería",3° Juzgado Civil,Sucesorio,2025-10-23,En Trámite,326
80171/25,"Civil, Comercial y Minería",4° Juzgado Civil,Amparo,2024-06-08,Archivado,233
67304/25,Laboral,2° Juzgado Laboral,Amparo,2026-03-05,En Trámite,193
84533/26,Familia,1° Juzgado de Familia,Homicidio,2026-01-20,Para Sentencia,237
27680/25,"Civil, Comercial y Minería",4° Juzgado Civil,Divorcio,2025-05-29,Resuelto,136
87485/23,Familia,2° Juzgado de Familia,Despido,2026-06-02,En Trámite,104
8208/25,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Daños y Perjuicios,2025-06-11,Archivado,131
66242/25,Familia,1° Juzgado de Familia,Divorcio,2024-10-24,Archivado,167
12125/26,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Homicidio,2024-07-27,Para Sentencia,779
98833/26,Laboral,3° Juzgado Laboral,Sucesorio,2025-12-27,Archivado,58
75125/26,Laboral,3° Juzgado Laboral,Hurto,2026-09-08,Suspendido,6
57053/24,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Despido,2025-10-17,Archivado,390
75997/26,Penal (Colegio de Jueces),Sala III,Hurto,2024-06-25,En Trámite,811
75333/25,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Despido,2023-12-02,Suspendido,1017
4742/26,Familia,2° Juzgado de Familia,Sucesorio,2026-04-15,Suspendido,152
77791/23,"Civil, Comercial y Minería",1° Juzgado Civil,Homicidio,2024-04-06,En Trámite,891
45045/24,Laboral,2° Juzgado Laboral,Amparo,2024-08-28,En Trámite,747
90560/25,Familia,1° Juzgado de Familia,Sucesorio,2026-02-21,En Trámite,205
83646/25,"Civil, Comercial y Minería",2° Juzgado Civil,Daños y Perjuicios,2024-10-04,Para Sentencia,710
87306/23,Familia,1° Juzgado de Familia,Divorcio,2025-08-18,Para Sentencia,392
90518/23,Familia,2° Juzgado de Familia,Divorcio,2023-10-22,Resuelto,127
75004/26,Familia,1° Juzgado de Familia,Despido,2025-04-12,Para Sentencia,520
93899/25,"Civil, Comercial y Minería",4° Juzgado Civil,Hurto,2025-01-03,Archivado,108
55813/25,Familia,1° Juzgado de Familia,Homicidio,2025-01-30,Resuelto,361
82302/24,Laboral,2° Juzgado Laboral,Divorcio,2023-11-18,Suspendido,1031
29314/23,Penal (Colegio de Jueces),Sala III,Divorcio,2023-12-12,Resuelto,399
6344/26,"Civil, Comercial y Minería",1° Juzgado Civil,Amparo,2023-09-30,Suspendido,1080
99413/23,Laboral,2° Juzgado Laboral,Amparo,2024-05-17,Para Sentencia,850
51015/26,Penal (Colegio de Jueces),Sala III,Sucesorio,2024-08-13,En Trámite,762
2579/26,Laboral,2° Juzgado Laboral,Despido,2024-06-11,Resuelto,322
52577/26,Laboral,3° Juzgado Laboral,Hurto,2024-10-05,Archivado,93
58782/24,"Civil, Comercial y Minería",4° Juzgado Civil,Amparo,2024-09-01,Archivado,248
50600/24,Laboral,1° Juzgado Laboral,Amparo,2025-10-08,Resuelto,390
41890/25,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Divorcio,2026-04-02,En Trámite,165
40204/23,Familia,2° Juzgado de Familia,Hurto,2025-11-26,En Trámite,292
52776/24,Laboral,1° Juzgado Laboral,Hurto,2024-03-06,Para Sentencia,922
80084/23,"Civil, Comercial y Minería",3° Juzgado Civil,Daños y Perjuicios,2026-06-24,Resuelto,86
82745/25,Familia,2° Juzgado de Familia,Despido,2026-03-28,Suspendido,170
72438/25,"Civil, Comercial y Minería",3° Juzgado Civil,Daños y Perjuicios,2023-12-07,Para Sentencia,1012
96396/26,Laboral,2° Juzgado Laboral,Homicidio,2026-04-27,Para Sentencia,140
24444/23,Familia,2° Juzgado de Familia,Divorcio,2025-01-12,Para Sentencia,610
65081/24,Familia,2° Juzgado de Familia,Amparo,2024-06-23,En Trámite,813
55808/26,Penal (Colegio de Jueces),Sala I,Homicidio,2025-03-24,Para Sentencia,539
11697/24,Laboral,1° Juzgado Laboral,Hurto,2025-09-24,Archivado,319
20426/24,Penal (Colegio de Jueces),Sala III,Daños y Perjuicios,2023-11-11,Resuelto,87
27550/26,Laboral,1° Juzgado Laboral,Amparo,2025-10-28,Para Sentencia,320
66042/24,Familia,2° Juzgado de Familia,Hurto,2023-11-23,Suspendido,1026
90401/23,Laboral,1° Juzgado Laboral,Despido,2025-09-29,Archivado,171
88572/26,"Civil, Comercial y Minería",2° Juzgado Civil,Despido,2025-05-11,Para Sentencia,490
42477/23,"Civil, Comercial y Minería",2° Juzgado Civil,Amparo,2024-08-04,Archivado,88
85786/24,Penal (Colegio de Jueces),Sala III,Despido,2024-08-29,Archivado,237
1076/23,"Civil, Comercial y Minería",3° Juzgado Civil,Sucesorio,2024-10-17,Suspendido,696
58814/23,Familia,2° Juzgado de Familia,Homicidio,2026-01-08,Archivado,178
19252/25,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Daños y Perjuicios,2025-11-25,Para Sentencia,293
41510/24,Laboral,1° Juzgado Laboral,Despido,2025-02-16,Archivado,148
98662/26,Familia,2° Juzgado de Familia,Amparo,2024-08-21,En Trámite,754
19849/25,Penal (Colegio de Jueces),Sala I,Despido,2026-03-02,Suspendido,196
53887/25,"Civil, Comercial y Minería",4° Juzgado Civil,Sucesorio,2025-05-26,Para Sentencia,476
73938/23,"Civil, Comercial y Minería",1° Juzgado Civil,Daños y Perjuicios,2025-07-14,Para Sentencia,427
98640/23,Laboral,2° Juzgado Laboral,Despido,2026-07-15,Resuelto,126
62543/25,Laboral,2° Juzgado Laboral,Hurto,2026-05-24,Archivado,261
82611/25,Penal (Colegio de Jueces),Sala III,Amparo,2026-08-27,Suspendido,18
86349/25,Familia,2° Juzgado de Familia,Amparo,2026-03-20,Resuelto,285
55787/26,"Civil, Comercial y Minería",3° Juzgado Civil,Daños y Perjuicios,2023-09-19,Resuelto,295
8881/25,Familia,1° Juzgado de Familia,Divorcio,2023-10-29,En Trámite,1051
78699/23,"Civil, Comercial y Minería",2° Juzgado Civil,Hurto,2025-11-10,Resuelto,226
35751/24,Familia,2° Juzgado de Familia,Homicidio,2025-10-17,Para Sentencia,332
21322/23,Familia,2° Juzgado de Familia,Daños y Perjuicios,2025-02-11,Suspendido,580
93776/23,Laboral,3° Juzgado Laboral,Sucesorio,2026-03-25,Resuelto,127
43625/26,Penal (Colegio de Jueces),Sala III,Despido,2025-12-20,Para Sentencia,268
68015/25,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Hurto,2025-05-29,Archivado,141
99009/23,"Civil, Comercial y Minería",4° Juzgado Civil,Homicidio,2025-05-20,En Trámite,482
72306/23,Laboral,2° Juzgado Laboral,Homicidio,2025-04-28,Para Sentencia,504
54854/23,"Civil, Comercial y Minería",2° Juzgado Civil,Sucesorio,2026-01-23,Archivado,226
43622/24,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Homicidio,2025-08-22,Suspendido,388
6124/23,Laboral,2° Juzgado Laboral,Sucesorio,2025-03-07,Resuelto,381
42308/23,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Hurto,2024-07-22,Suspendido,783
85892/25,Penal (Colegio de Jueces),Sala I,Amparo,2024-12-19,Archivado,238
58971/24,Penal (Colegio de Jueces),Sala II,Despido,2026-02-12,En Trámite,214
2777/25,Familia,1° Juzgado de Familia,Hurto,2024-10-31,Suspendido,683
18677/26,Familia,1° Juzgado de Familia,Hurto,2023-11-15,Resuelto,46
77703/24,Familia,2° Juzgado de Familia,Despido,2026-08-25,Archivado,177
99684/25,Familia,1° Juzgado de Familia,Hurto,2025-03-14,Archivado,370
46059/26,Laboral,1° Juzgado Laboral,Amparo,2025-09-13,Suspendido,365
54445/24,Familia,2° Juzgado de Familia,Despido,2024-09-28,Archivado,159
40095/24,Laboral,1° Juzgado Laboral,Daños y Perjuicios,2025-11-09,Archivado,165
48659/24,Familia,1° Juzgado de Familia,Homicidio,2024-03-06,Para Sentencia,922
93776/25,Laboral,1° Juzgado Laboral,Hurto,2026-05-05,Suspendido,132
77193/24,Familia,1° Juzgado de Familia,Homicidio,2024-02-12,Para Sentencia,945
41361/25,"Civil, Comercial y Minería",2° Juzgado Civil,Sucesorio,2025-11-06,Para Sentencia,312
70743/24,Penal (Colegio de Jueces),Sala III,Daños y Perjuicios,2026-01-05,Suspendido,252
69552/26,Laboral,1° Juzgado Laboral,Despido,2026-04-25,Resuelto,105
69735/25,Familia,1° Juzgado de Familia,Homicidio,2026-06-15,Resuelto,239
8836/23,Familia,2° Juzgado de Familia,Homicidio,2024-01-16,En Trámite,972
83620/24,Laboral,2° Juzgado Laboral,Daños y Perjuicios,2025-02-08,Para Sentencia,583
65884/25,Familia,1° Juzgado de Familia,Sucesorio,2024-05-21,Para Sentencia,846
86884/25,Familia,1° Juzgado de Familia,Sucesorio,2025-08-13,En Trámite,396
56922/25,Laboral,3° Juzgado Laboral,Daños y Perjuicios,2024-04-14,Resuelto,373
78568/23,Laboral,1° Juzgado Laboral,Daños y Perjuicios,2024-09-23,Archivado,255
5339/23,Laboral,3° Juzgado Laboral,Sucesorio,2025-05-19,Resuelto,370
48569/24,"Civil, Comercial y Minería",1° Juzgado Civil,Sucesorio,2024-12-11,Para Sentencia,642
23427/24,Laboral,2° Juzgado Laboral,Despido,2024-04-18,En Trámite,879
92948/24,"Civil, Comercial y Minería",3° Juzgado Civil,Divorcio,2023-10-02,Archivado,281
78967/25,Laboral,2° Juzgado Laboral,Daños y Perjuicios,2024-09-18,En Trámite,726
72690/24,Familia,1° Juzgado de Familia,Sucesorio,2025-10-04,Resuelto,263
46143/26,Penal (Colegio de Jueces),Sala III,Daños y Perjuicios,2025-10-14,Resuelto,55
31807/24,"Civil, Comercial y Minería",4° Juzgado Civil,Amparo,2026-05-06,Suspendido,131
